text,true_label,predicted_label
"The  Great Firewall of China    the world s most extensive effort to try to control cyberspace   has become more formidable under President Xi Jinping.  Authorities have closed some video and audio streaming websites, limited online access to foreign and  foreign-inspired  television programs, stiffened penalties for  spreading rumor  via social media and restricted access to virtual private networks.  For the very wired  Class of 2012 , these measures are largely minor inconveniences. Some buy into the idea that the Internet needs to be closely managed. Others just find workarounds.  Here are their views on living with the Great Firewall.  Wang Siyue, a product specialist at an Internet education company:  ""I'm sure these restrictions will exist in the short term, but over the long term they can't block the development of this industry domestically. I believe there will be even more internet companies and startup opportunities.""  Zhang Weixuan, an assistant secretary at a software company:   For contemporary youth in China right now, our channels for information are broad, including the use of VPNs, or a variety of means through which we can be exposed to foreign news.    For me (blocking VPNs) won t have a great impact. Maybe for second- and third-tier cities, or for those young people who have never had the experience of going abroad, or whose English is not very good, they may be subject to the impact of the country s more stringent controls over propaganda.   Fu Shiwei, an assistant university teacher:   My students are very tech savvy so they help me solve things like looking up academic information or stay updated on global current affairs. I think it s okay. The government keeps everyone in line, so I don t have any strong opinions about the government.   Zuo Aining, a senior credit risk associate, based in Washington, D.C.:   I personally think that for the Internet, as a very open platform, certain strategies for oversight are very necessary ... what I m concerned about are things like terrorist attacks.    Maybe if you make better use of systems to supervise the Internet you ll have a more positive impact in terms of protecting national security.   Qin Lijuan, a senior wealth management consultant:   If I want some news I usually just ask friends abroad. I ve got a lot of classmates who are abroad, who studied there or are working there.   GRAPHIC: Great Firewall of China tmsnrt.rs/2kUuirU",1,0
"Liberian President Ellen Johnson Sirleaf said on Wednesday she was saddened by the fact U.S. voters had not elected a woman president, and expressed concern about what President-elect Donald Trump’s policy toward Africa would be. Johnson Sirleaf, the first woman to be elected a head of state in Africa, said: “We are extremely saddened by this missed opportunity on the part of the people of the United States to join smaller democracies in ending the marginalization of women.” In an interview with BBC television, she said that Liberia, a nation founded in the 19th century by freed American slaves, had a long and historical relationship with the United States and she expected that to continue. “We are concerned as to whether President-elect Trump will have an African agenda, will be able to build bridges with Africa. We can only hope that he will do so in due course. “I’m worried about trade deals for Liberia, for Africa. I’m worried about investment and the special programs that have been put in place by President Obama and by President George Bush before him, and we just don’t know what the policy towards Africa will be.”",1,0
"Britain s Prince Harry and U.S. actress Meghan Markle announced on Monday they were getting married next year, saying their relationship had blossomed  incredibly quickly  after meeting on a blind date. Harry, 33, Queen Elizabeth s grandson and fifth-in-line to the British throne, and Markle, 36, best known for her role in the U.S. TV legal drama  Suits , said they had got engaged in London this month and will wed in the spring next year.   The fact that I fell in love with Meghan so incredibly quickly was confirmation to me that all the stars were aligned, everything was just perfect. This beautiful woman just tripped and fell into my life, I fell into her life,  Harry said in a broadcast interview. [L8N1NX5AE] The queen, who had to give her assent for the union, and her husband Prince Philip were delighted, Buckingham Palace said, while Harry also received the blessing of Markle s parents.  We re thrilled. I hope they will be very happy indeed,  his father, heir-to-the-throne Prince Charles said. Harry and Markle, who is a divorcee, met in July 2016 after they were introduced through a mutual friend, with both knowing little about the other.  I had never watched Suits, I had never heard of Meghan before and I was beautifully surprised when I walked into that room and saw her. I was like I m going to really up my game here,  Harry said. After just two dates, the couple decided to go on holiday together to Botswana but it was only months later that the prince, the younger son of Charles and his first wife Princess Diana, publicly confirmed their relationship in a rebuke to the media over its alleged intrusion into Markle s private life.   I did not have any understanding of just what it would be like,  she said.  Both of us were totally surprised by the reaction,  added Harry, who said they had had a frank conversation about what she was letting herself in for. It was not until September this year that they made their first public appearance together at the Invictus Games in Toronto, a sports event for wounded veterans. Earlier the couple posed for photographs in the grounds of Kensington Palace in central London where the couple will live in a cottage. Asked when he knew Markle was  the one , he replied:  The very first time we met.  Markle showed off a dazzling three-stone ring, designed by Harry himself with at its center a diamond from Botswana surrounded by two diamonds taken from the personal collection of his late mother Diana. Harry said she would have been  thick as thieves  with Markle.  It s so important to me to know that she s a part of this with us,  Markle said. The wedding is likely to attract huge attention across the world, as did the marriage of Harry s elder brother William to  Kate Middleton in 2011.  We are very excited for Harry and Meghan,  William and Kate said in a statement.  It has been wonderful getting to know Meghan and to see how happy she and Harry are together.   In his office s warning to the media, Harry referred to the sexism and racism directed at Markle, whose father is white and  her mother African-American.  We are incredibly happy for Meghan and Harry. Our daughter has always been a kind and loving person,  Markle s parents Thomas Markle and Doria Ragland said in a statement.  To see her union with Harry, who shares the same qualities, is a source of great joy for us as parents. We wish them a lifetime of happiness and are very excited for their future together.  Educated at the exclusive Eton College, Harry s teenage years were overshadowed by negative headlines, fostering an intense dislike which he and his brother harbored because of the way papers hounded their mother. She died in a Paris car crash in 1997 while being chased by paparazzi. Harry was portrayed as a royal wild child and playboy prince, and in 2002 he admitted smoking cannabis and getting drunk when underage in a pub near the royal family s country estate amid suggestions he had fallen in with a bad crowd. He later scuffled with paparazzi outside a London nightclub and drew outrage by dressing as a Nazi officer at a party. But he turned around his image after joining the army, where he spent 10 years and included two tours of duty in Afghanistan. He said it was a role where he felt he could be himself without media scrutiny or any other trappings of his gilded upbringing. Even when he was photographed partying naked and playing billiards in a private room in Las Vegas in 2012, the response was less critical and more understanding. He left the army in 2015 to focus on royal duties and charity work, particularly the welfare of military veterans, and continuing his mother s work helping those with AIDS, and mental health issues. His easy-going manner with the public has made him one of the most popular members of the Windsors. That has put him at the forefront of a rebranding of the monarchy as modern and relevant, a far cry from the perception of a hopelessly out-of-touch institution following the 1997 death of Diana. To coincide with the 20th anniversary of her death this year, Harry opened up about his own trauma at losing his mother at a young age, and was even quoted as saying he wanted out of the royal family altogether. Like William s wife Kate, Meghan will not become a princess in her own right after marrying Harry. However, Harry, like his brother, is likely to be made a duke when he marries, meaning Meghan would become a duchess. Markle was born in Los Angeles in 1981. Her father was a TV lighting director for soaps and sitcoms and her mother a clinical therapist. She made her first TV appearance in a 2002 episode of medical drama  General Hospital  has appeared in a number of TV shows and films, such as  Horrible Bosses , but achieved greatest fame for her starring part as Rachel Zane in the ongoing  Suits  series.  In 2011, she married film producer Trevor Engelson but they divorced two years later. She had her own lifestyle blog thetig.com, which she recently shut down, and like her future husband has become a prominent humanitarian campaigner. She also criticized U.S. President Donald Trump in a TV interview before last year s U.S. election, calling him misogynistic. Britain s royals are traditionally supposed to avoid making any political interventions and Harry said he had confidence that his wife-to-be would be able to handle the pressures her role would bring.  I know the fact that she ll be unbelievably good at the job part as well is obviously a huge relief to me because she ll be able to deal with everything else that comes with it,  he said.  We re a fantastic team. We know we are.  (This story has been refiled to remove extraneous words in lead)",1,0
"President-elect Donald Trump is throwing a private New Year s Eve party at his Mar-a-Lago Club that is expected to draw hundreds of guests, including Sylvester Stallone.Via: Hollywood ReporterPhoto Credit: Dan Scavino, Jr.",0,1
"William Jackson remembers the exodus vividly, when over 10,000 Protestants fled the west bank of Londonderry s River Foyle for the city s suburbs as Northern Ireland s  Troubles  erupted.  Almost 50 years on Jackson is among some 250 Protestants who stayed and carved out a tiny enclave known as  The Fountain , a tight, fiercely pro-British community that is separated by high walls and fences from the surrounding Irish nationalist heartland.  You are not talking one or two families, you are talking hundreds and hundreds and hundreds,  Jackson said, recalling the flight which began in 1969 when British troops were sent to the city to quell unrest over a civil rights campaign launched by the Catholic minority. Three decades of bloodshed followed between Catholic Irish nationalists, seeking to unite with Ireland, and pro-British Protestant loyalists, who want to remain part of the United Kingdom. Around 3,600 people were killed before a 1998 peace agreement. Much of Northern Ireland has since been transformed, yet in many areas the two sides remain separated by so-called  peace walls . The fences of up to 15 meters set up in the years after 1969 were supposed to be temporary but many still remain. In The Fountain, the metal gate in the wall between it and the nearby Bogside area - home to the late Irish nationalist hero Martin McGuinness - is locked at 9 p.m. each night and it remains one of the province s flashpoints when sporadic violence breaks out.  We stayed here because we re hardcore,  said Jackson.  We managed to stay as a small community and it s always been that way. Nationalists wouldn t be welcome to live here, even today. Just the same as Protestants wouldn t be made welcome in the Bogside. It s just one of those things unfortunately.  Social codes are so ingrained that it is virtually unheard for people to spend time in the opposing community s neighborhood but anyone who did could face threats or a beating from local hardliners.  Outsiders , as locals refer to Protestants not originally from the area, have moved in but only last around five or six years, according to Jackson, who runs the local Heritage Tower museum, one the smallest galleries in Northern Ireland.  You have families that come and spend a year and they go because of the way of life here,  he said.  Some of the police have actually referred to us as like rats living in a cage.  The area remains blighted by poverty and many houses remain derelict. Some residents say they disconnect their electricity periodically to save money.  At The Fountain s Cathedral Youth Club, Jeanette Warke has spent the last 45 years providing an education and recreational outlet to three generations of youngsters who went from dodging bullets to fighting unemployment. Warke has seen The Fountain change over that time and now concentrates on better integrating local Catholic and Protestant children. Last year she brought them to Dublin for the centenary of the Irish uprising that led to independence from Britain and to France for a commemoration of the World War One Battle of the Somme.  We ve really opened up big avenues for these young people, Protestant and Catholic to look at their history,  said Warke, who still works at the age of 73 and has been honored by Britain s Queen for her services to young people.  You re not looking to change young people s mindsets and to take them away from their own culture, that s not what we are about. We re looking to create a better understanding and also respect for each other and that to me is very, very important.  However Jackson, Warke and other locals think it s still too soon to tear down the walls between Protestants who call their city Londonderry and Catholics who refer to it simply as Derry. There s more work to do, Warke said. Until then, The Fountain community will remain as tight as ever.  My mother says the only time she will leave the Fountain is in a box,  said 38-year-old Daphne Atkinson, a fellow youth club worker.  She s proud of where she s from which is a good thing so she ll not leave only when it s her time to go.",1,0
"The Democratic Party released a video on Sunday slamming Republican presidential hopefuls for their opposition to action on climate change, suggesting the views clash with the reality of rising sea levels and shifting weather patterns. The video features Republican front-runner Donald Trump and his two closest rivals, Marco Rubio and Ted Cruz, denying man-made global warming, juxtaposed with images of U.S. flooding, wildfires, droughts and heat waves. “I’m not a believer in climate change,” Trump says during a television news interview featured in the clip. The video can be seen at bit.ly/1Qm5iB8.  “Satellite data show there’s been no warming whatsoever,” Cruz, a U.S. senator of Texas, says in another news clip. Rubio, a U.S. senator of Florida, says, “I do not believe that human activity is causing these dramatic changes to our climate the way these scientists are portraying it.”     The video aims to put the environmental issue center stage in the November race for the White House.      Democratic presidential hopefuls Hillary Clinton and Bernie Sanders have both laid out plans to combat climate change, while all five Republican presidential contenders have argued that the problem doesn’t exist or have discounted the scope of the issue. The video also draws a link between environmental issues and the vacancy on the U.S. Supreme Court following the surprise death this month of Justice Antonin Scalia.  President Barack Obama has said he plans to nominate a replacement for Scalia before the November election, but Republicans in Congress have vowed to block the effort. “With so many issues at stake now, with so much potentially heading before the court on clean energy and climate change, we simply can’t afford for our nation’s highest court to be crippled,” a few Democratic members of Congress say in the video. An official for the Democratic Party said the video would be circulated on social media.  (Reporting by Luciana Lopez; Additional reporting by Alana Wise; Editing by Leslie Adler) This article was funded in part by SAP. It was independently created by the Reuters editorial staff. SAP had no editorial involvement in its creation or production.",1,0
"Just when you find yourself wondering if the world has gone completely mad you read a story like this that confirms that indeed, it has Gov. Jerry Brown is allowing parole for a transgender inmate who is trying to force California to become the first state to pay for sex reassignment surgery.A federal judge in April ordered the state to provide the surgery, which had been scheduled for July. It was delayed after the state appealed.The governor s office said Friday that Brown was taking no action on the Board of Parole Hearings  recommendation to release Michelle-Lael Norsworthy, which means her parole will proceed.The decision makes it less likely that the 51-year-old will be able to have surgery funded by the prison before she is released. Parole board spokesman Luis Patino said it usually takes about a week for an inmate to be released after the governor allows a parole to proceed.Brown decided Norsworthy is no longer dangerous, 30 years after she fatally shot Franklin Gordon Liefer Jr., 26, following an argument in a Fullerton bar in November 1985.Norsworthy, then 21, was convicted of second-degree murder after she shot Liefer three times. He died six weeks later.She is being held at Mule Creek State Prison, a men s prison in Ione, near Sacramento. Prison records refer to her by her birth name of Jeffrey Bryan Norsworthy, though she has lived as a woman since the 1990s.She was diagnosed with gender identity disorder in 1999 and began taking female hormones. She began asking the corrections department for the surgery in 2012 after learning a judge for the first time had ordered Massachusetts to provide an inmate with the procedure. However, that decision was overturned on appeal in December, and the U.S. Supreme Court declined to intervene.The 9th Circuit agreed to hear California s appeal of U.S. District Judge Jon Tigar s ruling and a hearing is scheduled for Thursday. The appellate court noted that the case raises serious legal questions about whether denying the surgery violates Norsworthy s constitutional rights against cruel and unusual punishment.The California Department of Corrections and Rehabilitation says it has met all of its legal requirements by providing Norsworthy with counseling and hormone therapy.The state filed paperwork in federal court Friday saying it has agreed to provide sex reassignment surgery for another inmate, Shiloh Quine, 56, to settle a separate lawsuit. CDCR evaluates every case individually, and in the Quine case, every medical doctor and mental health clinician who has reviewed this case, including two independent mental health experts, determined that this surgery is medically necessary for Quine,  corrections department spokesman Jeffrey Callison said in an emailed statement.Quine, formerly known as Rodney James Quine, is serving a life sentence for murder, kidnapping and robbery.Norsworthy testified at her parole hearing in May that she accepts responsibility for her crime. She said at the time, she was  pretty much drinking every day all day  but is now sober and attends Alcoholics Anonymous meetings in prison.She said she also takes steps to control her anger and make better judgments.Via: FOX News",0,1
"Are you sitting down? The phony baloney Climate Change Summit put on by our Dictator In Chief costs the American taxpayers close to $2 MILLION DOLLARS. Someone needs to shut this grifter down!Car service, hotels, and accommodations for the president and other administration officials to attend climate change talks in Paris are costing taxpayers nearly $2 million, according to government contracts.The COP21 meeting of global leaders, which President Obama said is a  powerful rebuke  to terrorists, began on Monday. Representatives from 195 countries traveled to Paris, burning 300,000 tons of carbon dioxide for the United Nations conference that is seeking to reduce global emissions.The tab for Obama s motorcade alone totals $784,825. The State Department issued a $407,868 contract to Biribin Limousines, an international chauffeur service, for vehicles for the president s security detail. No Sustainability Included,  the document states under a section for contract clauses.Numerous other contracts for passenger vehicle rentals, including $9,042 for accompanying press, totaled $376,957.Taxpayers were also billed $100,216 to book hotel accommodations for the president s stay. Hotel rooms and cell phones for the U.S. Secret Service traveling with the president cost $16,642 and $4,034, respectively.A number of cabinet secretaries are also in Paris for the United Nations conference, including IRS Commissioner John Koskinen, whose car service tab is $5,400.Secretary of State John Kerry s car service totaled $76,435, with three separate contracts worth $38,684, $15,789, and $21,962.Car service for Energy Secretary Ernest Moniz is costing $19,080, and two contracts worth $10,153 and $10,737 were issued for Agriculture Secretary Tom Vilsack s chauffeur service.Interior Secretary Sally Jewell is also attending the conference, with hotel accommodations at the Tuileries Finances in Paris costing $36,091, and her car service totaling $13,903.In all, costs associated with the climate change summit totaled $1,805,282.Read more: WFB",0,1
"U.S. TV networks, buoyed by strong demand from advertisers, are adding hours of coverage for this week’s Republican National Convention compared to four years ago and planning to use social media to capture any  unexpected moments, executives said. Presumptive presidential nominee Donald Trump may be new to politics. But the former star of his own reality show “The Apprentice” is a TV veteran who has promised to throw out the traditional convention script and provide a “showbiz” feel. Adding to the programing uncertainty are protests outside the convention hall in Cleveland and the possibility of dissent among delegates.  “It’s safe to say that there are going to be surprises,” said Sam Feist, Washington bureau chief for CNN, the cable news network owned by Time Warner Inc (TWX.N).      The stakes are high for broadcast and cable networks. Media analysts predict viewership for Trump’s acceptance speech could surpass the record 38 million who watched Barack Obama address the Democratic convention in 2008. The potential for the unexpected at what is usually a meticulously staged event is driving strong advertiser demand, network executives said. CNN is pulling in between $40,000 and $100,000 for 30-second spots, a source familiar with the matter said. That is far above the typical cost of roughly $7,000 for a primetime ad on CNN. “We are 100 percent sold on primetime and about 95 percent sold on other slots,” said Katrina Cukaj, executive vice president of portfolio sales and client partnerships at CNN parent Turner Broadcasting. She declined to comment on rates. Quick service restaurants and movie studios are running more spots than in past conventions, Cukaj said. “The advertisers are a lot more diverse than I have ever seen,” Cukaj said. Broadcaster CBS (CBS.N) has seen strong ad sales for both conventions and has booked ads from the entertainment, packaged goods, travel and other industries, a network source said. In 2012, TV advertisers spent $5.8 million during both conventions, compared to $7.8 million in 2008, according to Kantar Media. Cable networks will provide coverage throughout each day and into the evening. Broadcast networks plan one hour of primetime coverage each of the four nights, plus online reports. In 2012, broadcasters aired an hour of only the last three nights. CNN will have hundreds of staff on the ground, more than any previous convention, Feist said. For the first time, the channel is anchoring every show from Cleveland through noon Friday. The network will face plenty of competition. Fox News Channel, owned by 21st Century Fox (FOXA.O), began its coverage from Cleveland on Thursday, four days before the start, compared to Sunday in years past. It also added staff outside to cover protests.  Trump’s acceptance speech could attract more than 40 million viewers, said Kyle Roberts, president and chief executive of Smart Media Group, a media buyer that works with Republican candidates. Some brands will avoid the convention, said Barry Lowenthal, president of The Media Kitchen, a media buyer. “It’s just dangerous territory,” Lowenthal said. “It’s very unpredictable content. I’m not sure that convention is going to enhance any brand’s image. Why go there if you can go elsewhere?” Media outlets say they will rely more heavily this year on social media and live streams. MSNBC correspondent Jacob Soboroff said he expects to broadcast live most of the week. When not on television, he plans to be on Snapchat, Twitter and possibly Facebook Live. “This is going to be a different kind of convention,” Soboroff said. “It doesn’t feel like business as usual because there is a lot of energy around that feels uncertain.” Walt Disney Co’s (DIS.N) ABC News will run up to six live streams simultaneously on its website and apps. Live coverage from CBS will appear on Twitter and the 24-hour CBSN mobile app. CBS is preparing for the possibility that Trump will appear in some role every night, another break from tradition, CBS News President David Rhodes said.",1,0
"Some listeners to commercial radio station Mix Megapol in Sweden heard 30 minutes of an Islamic State propaganda song on Friday after hackers took over the station s frequency, the station s owners said. Mix Megapol is one of Sweden s biggest radio stations with around 1.4 million listeners daily, although the problem affected only listeners in the southern Swedish city of Malmo.  Somebody interfered with our frequency using a pirate transmitter,  Jakob Gravestam, Marketing Director at Bauer Media Group, which owns Mix Megapol, said in a press release.  We will report the incident to police and to the National Post and Telecom Agency.  The song, with male voices singing in English, featured lyrics such as:  For the sake of Allah we will march to gates of the paradise where our maidens await. We are men who love death just as you love your life, we are soldiers who fight in the day and the night.  The hosts of popular morning show  Anders & Gry with Friends  did not notice the problem until listeners called in and asked what was going on.   A lot of people have called us about this. We are very happy that people are vigilant and we treat this very seriously,  Gravestam told website 24Malmo.",1,0
